Algorithm	File	Fitness	Time(s)	Evals
IteratedLocalSearch (SA)	GKD-b_14_n50_m5	5.21868	0.0259149	8117.6
IteratedLocalSearch (SA)	GKD-b_15_n50_m5	7.45629	0.0247258	7883.2
IteratedLocalSearch (SA)	GKD-b_16_n50_m15	53.4735	0.18143	22441.6
IteratedLocalSearch (SA)	GKD-b_17_n50_m15	66.1918	0.191578	25086.2
IteratedLocalSearch (SA)	GKD-b_18_n50_m15	63.7073	0.178658	22803.6
IteratedLocalSearch (SA)	GKD-b_19_n50_m15	71.4772	0.175227	20715.8
IteratedLocalSearch (SA)	GKD-b_20_n50_m15	75.3766	0.172125	21305.8
IteratedLocalSearch (SA)	GKD-b_21_n100_m10	29.3623	0.1753	30471.2
IteratedLocalSearch (SA)	GKD-b_22_n100_m10	27.9477	0.169789	27313
IteratedLocalSearch (SA)	GKD-b_23_n100_m10	23.7926	0.16583	27018.4
IteratedLocalSearch (SA)	GKD-b_24_n100_m10	28.3479	0.170943	26306.6
IteratedLocalSearch (SA)	GKD-b_25_n100_m10	25.4519	0.172444	29528.6
IteratedLocalSearch (SA)	GKD-b_26_n100_m30	259.864	1.3305	61646.8
IteratedLocalSearch (SA)	GKD-b_27_n100_m30	198.708	1.36496	64983.2
IteratedLocalSearch (SA)	GKD-b_28_n100_m30	205.404	1.31515	61953.6
IteratedLocalSearch (SA)	GKD-b_29_n100_m30	223.473	1.32142	62521
IteratedLocalSearch (SA)	GKD-b_30_n100_m30	221.237	1.30009	62051.6
IteratedLocalSearch (SA)	GKD-b_31_n125_m12	26.2457	0.332347	48097
IteratedLocalSearch (SA)	GKD-b_32_n125_m12	36.0795	0.297577	40432.2
IteratedLocalSearch (SA)	GKD-b_33_n125_m12	31.7118	0.306602	41346.6
IteratedLocalSearch (SA)	GKD-b_34_n125_m12	35.1915	0.290216	37020.2
IteratedLocalSearch (SA)	GKD-b_35_n125_m12	30.8402	0.306454	42088.2
IteratedLocalSearch (SA)	GKD-b_36_n125_m37	316.687	1.89331	43427.6
IteratedLocalSearch (SA)	GKD-b_37_n125_m37	364.566	1.89279	41946.4
IteratedLocalSearch (SA)	GKD-b_38_n125_m37	384.342	1.84615	42657
IteratedLocalSearch (SA)	GKD-b_39_n125_m37	291.612	1.86609	43378.4
IteratedLocalSearch (SA)	GKD-b_40_n125_m37	379.053	1.83524	41911.6
IteratedLocalSearch (SA)	GKD-b_41_n150_m15	44.6528	0.50433	50288.8
IteratedLocalSearch (SA)	GKD-b_42_n150_m15	45.8841	0.503593	50667.4
IteratedLocalSearch (SA)	GKD-b_43_n150_m15	45.5616	0.522025	56772
IteratedLocalSearch (SA)	GKD-b_44_n150_m15	47.1147	0.499883	50430.4
IteratedLocalSearch (SA)	GKD-b_45_n150_m15	47.3341	0.484772	46985.4
IteratedLocalSearch (SA)	GKD-b_46_n150_m45	493.319	3.37774	50944.8
IteratedLocalSearch (SA)	GKD-b_47_n150_m45	437.673	3.41777	52737
IteratedLocalSearch (SA)	GKD-b_48_n150_m45	413.285	3.37472	52796.8
IteratedLocalSearch (SA)	GKD-b_49_n150_m45	457.144	3.38152	51835.8
IteratedLocalSearch (SA)	GKD-b_50_n150_m45	468.428	3.35237	51831
IteratedLocalSearch (SA)	MEDIA_N25	10.3125	0.010595	3011.54
IteratedLocalSearch (SA)	MEDIA_N50	36.3981	0.102611	15322
IteratedLocalSearch (SA)	MEDIA_N100	124.359	0.748641	45379.4
IteratedLocalSearch (SA)	MEDIA_N125	189.633	1.08668	42230.5
IteratedLocalSearch (SA)	MEDIA_N150	250.04	1.94187	51528.9
IteratedLocalSearch (SA)	MEDIA_GLOBAL	122.148	0.778079	31494.5
SimulatedAnnealing	GKD-b_1_n25_m2	0	7.1634e-06	1
SimulatedAnnealing	GKD-b_2_n25_m2	0	5.2902e-06	1
SimulatedAnnealing	GKD-b_3_n25_m2	0	4.771e-06	1
SimulatedAnnealing	GKD-b_4_n25_m2	0	4.4384e-06	1
